City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,inverell,-29.7833,151.1167,285.99,72,100,3.58,AU,1717982532
166,romorantin-lanthenay,47.4167,1.8333,284.2,93,0,0.0,FR,1717982533
167,al bardiyah,31.7561,25.0865,295.13,75,0,5.64,LY,1717982533
168,ta'izz,13.5,44.0,298.18,53,100,1.95,YE,1717982534
169,morant bay,17.8815,-76.4093,302.94,90,100,3.76,JM,1717982534
170,igarka,67.4667,86.5833,280.38,95,91,6.26,RU,1717982282
171,quellon,-43.1167,-73.6167,283.1,86,100,5.59,CL,1717982256
172,arquitecto tomas romero pereira,-26.4833,-55.25,292.47,70,4,1.9,PY,1717982536
173,thinadhoo,0.5333,72.9333,301.48,74,100,2.59,MV,1717982537
174,lebyazh'ye,55.2689,66.4947,287.65,98,100,2.58,RU,1717982382
175,tsiombe,-25.3,45.4833,290.9,63,95,4.26,MG,1717982538
176,kurumkan,54.3,110.3,289.89,47,100,2.68,RU,1717982538
177,copiapo,-27.3667,-70.3333,283.98,61,100,1.0,CL,1717982262
178,san antonio de pale,-1.4014,5.6325,297.68,81,100,5.27,GQ,1717982540
179,alofi,-19.0595,-169.9187,299.09,61,75,8.75,NU,1717982540
180,tolanaro,-25.0319,46.9987,289.19,88,75,2.06,MG,1717982541
181,buta,2.7858,24.73,294.57,99,100,0.66,CD,1717982541
182,bratsk,56.1325,101.6142,287.42,70,0,5.28,RU,1717982542
183,rio grande,-32.035,-52.0986,294.79,85,87,4.45,BR,1717982454
184,hasaki,35.7333,140.8333,294.42,80,99,4.48,JP,1717982543
185,semera,11.501,41.201,305.04,29,34,2.41,ET,1717982543
186,val-d'or,48.1002,-77.7828,282.2,87,100,8.75,CA,1717982285
187,devanhalli,13.2325,77.6992,296.18,88,40,5.14,IN,1717982545
188,lackland air force base,29.3866,-98.618,309.0,39,40,5.14,US,1717982545
189,ketchikan,55.3422,-131.6461,289.41,29,75,6.17,US,1717982546
190,mugia,43.1041,-9.2179,286.99,80,10,10.21,ES,1717982546
191,nemuro,43.3236,145.575,284.6,90,100,7.21,JP,1717982547
192,lesnoy,57.6198,63.0784,285.65,97,100,2.04,RU,1717982547
193,selfoss,63.9331,-20.9971,279.29,72,1,2.63,IS,1717982548
194,egilsstadir,65.2653,-14.3948,278.1,75,75,5.66,IS,1717982548
195,cabedelo,-6.9811,-34.8339,296.52,79,20,6.25,BR,1717982549
196,yanykurgan,43.915,67.2481,299.7,26,37,3.37,KZ,1717982549
197,les cayes,18.2,-73.75,299.38,85,100,1.56,HT,1717982550
198,sisimiut,66.9395,-53.6735,273.98,99,100,2.65,GL,1717982550
199,pultusk,52.7025,21.0828,290.96,69,100,2.52,PL,1717982551
200,kirkwall,58.9848,-2.9587,282.18,81,100,6.69,GB,1717982551
201,tamanrasset,22.785,5.5228,300.1,12,0,2.57,DZ,1717982552
202,lompoc,34.6391,-120.4579,295.81,74,0,6.17,US,1717982286
203,nevel'sk,46.6733,141.8633,286.03,99,100,4.21,RU,1717982553
204,berriane,32.8265,3.7669,300.6,17,100,2.76,DZ,1717982554
205,east london,-33.0153,27.9116,288.0,59,0,2.53,ZA,1717982554
206,mount gambier,-37.8333,140.7667,284.35,68,100,3.87,AU,1717982555
207,klyavlino,54.2649,52.0267,287.5,89,9,1.02,RU,1717982555
208,minas de marcona,-15.2119,-75.1103,285.4,85,100,4.76,PE,1717982408
209,port alfred,-33.5906,26.891,288.88,60,3,3.32,ZA,1717982556
210,zhukovka,53.534,33.728,288.06,92,95,2.9,RU,1717982557
211,okha,53.5739,142.9478,282.73,89,94,4.47,RU,1717982558
212,dailekh,28.8333,81.6667,300.59,28,0,1.98,NP,1717982559
213,happy valley-goose bay,53.3168,-60.3315,288.32,82,40,5.14,CA,1717982355
214,saint-pierre,-21.3393,55.4781,293.97,73,75,3.6,RE,1717982560
215,kamien pomorski,53.9685,14.7726,285.35,73,100,5.78,PL,1717982561
216,fuglafjordur,62.244,-6.814,278.41,97,100,12.04,FO,1717982561
217,okhotsk,59.3833,143.3,280.93,78,76,4.31,RU,1717982562
218,balcarce,-37.8462,-58.2552,288.93,97,100,2.24,AR,1717982562
219,kerikeri,-35.2268,173.9474,293.28,62,17,2.28,NZ,1717982563
220,kavaratti,10.5669,72.642,301.31,84,100,6.9,IN,1717982563
221,sao desiderio,-12.3633,-44.9733,293.59,52,8,2.99,BR,1717982564
222,ankang,32.68,109.0172,297.39,70,98,1.21,CN,1717982565
223,la passe,45.5549,-0.8967,287.28,78,100,5.11,FR,1717982565
224,ballina,-28.8667,153.5667,292.47,62,100,3.53,AU,1717982566
225,ebon,4.582,168.6964,302.01,72,50,6.42,MH,1717982468
226,cova figueira,14.8905,-24.2934,291.14,79,0,4.48,CV,1717982567
227,raduzhny,62.0961,77.475,288.29,49,46,2.3,RU,1717982567
228,whitehorse,60.7161,-135.0538,296.54,22,75,2.57,CA,1717982568
229,farasan,16.7022,42.1183,304.46,68,38,4.9,SA,1717982568
230,san rafael del sur,11.8485,-86.4384,299.69,89,100,1.32,NI,1717982569
231,belyy yar,53.6039,91.3903,290.09,67,0,0.0,RU,1717982569
232,saldanha,-33.0117,17.9442,285.18,58,0,4.39,ZA,1717982570
233,playa vicente,17.8333,-95.8167,306.62,47,68,5.5,MX,1717982570
234,pangody,65.85,74.4859,282.8,62,100,6.43,RU,1717982571
235,punta del este,-34.9667,-54.95,292.21,93,0,5.66,UY,1717982571
236,faya-largeau,17.9257,19.1043,306.35,13,20,5.71,TD,1717982572
237,chickasha,35.0526,-97.9364,300.1,78,75,5.66,US,1717982572
238,borodulikha,50.7184,80.9295,291.94,88,100,4.9,KZ,1717982412
239,castillos,-34.1667,-53.8333,292.15,89,7,4.58,UY,1717982574
240,acarau,-2.8856,-40.12,298.53,89,91,4.78,BR,1717982574
241,tual,-5.6667,132.75,300.07,84,15,9.6,ID,1717982575
242,qaqortoq,60.7167,-46.0333,279.9,89,94,1.45,GL,1717982575
243,ma'rib,15.4591,45.3253,301.48,26,4,2.18,YE,1717982576
244,polyarnyy,69.1989,33.4478,279.61,87,62,2.51,RU,1717982576
245,lata,40.1629,-8.3327,290.41,98,100,0.28,PT,1717982577
246,qamdo,31.1667,97.2333,286.02,49,14,1.03,CN,1717982577
247,galesong,-5.3166,119.3661,300.16,75,7,1.31,ID,1717982578
248,ts'alenjikha,42.6044,42.0682,291.55,99,100,0.64,GE,1717982578
249,niquero,20.0431,-77.5828,300.4,80,100,3.91,CU,1717982579
250,elliot lake,46.3834,-82.6331,280.61,76,100,5.21,CA,1717982579
251,camana,-16.6228,-72.7111,289.46,88,100,2.37,PE,1717982580
252,makhambet,47.6667,51.5833,296.9,52,86,3.67,KZ,1717982580
253,san patricio,28.017,-97.5169,304.2,68,2,6.57,US,1717982581
254,marica,-22.9194,-42.8186,296.1,82,0,2.65,BR,1717982581
255,yangjiang,21.85,111.9667,301.86,80,97,3.83,CN,1717982582
256,lerwick,60.1545,-1.1494,282.15,77,100,9.65,GB,1717982582
257,smithers,54.7804,-127.1743,296.33,31,75,1.54,CA,1717982583
258,sitka,57.0531,-135.33,284.09,71,100,5.66,US,1717982584
259,saint-philippe,-21.3585,55.7679,293.92,84,50,4.63,RE,1717982584
260,dryden,49.7833,-92.7503,290.31,31,0,3.09,CA,1717982585
261,enewetak,11.3474,162.3373,301.58,81,29,7.28,MH,1717982585
262,dudinka,69.4058,86.1778,276.86,94,86,3.58,RU,1717982586
263,hurricane,37.1753,-113.2899,308.41,14,70,4.92,US,1717982586
264,kailua-kona,19.6406,-155.9956,302.13,72,75,4.63,US,1717982587
265,cannonvale,-20.2833,148.7,293.81,54,0,3.78,AU,1717982587
266,yerofey pavlovich,53.9667,121.9667,284.99,89,100,2.1,RU,1717982588
267,lively,46.4334,-81.1498,284.66,78,100,5.37,CA,1717982588
268,constantia,44.1833,28.65,293.54,73,100,4.31,RO,1717982589
269,uthai thani,15.3833,99.55,301.58,70,100,1.48,TH,1717982590
270,badger,64.8,-147.5333,301.47,21,75,1.54,US,1717982590
271,jogindarnagar,31.9833,76.7667,297.64,28,29,2.35,IN,1717982350
272,grand falls-windsor,48.9332,-55.6649,285.65,88,97,2.53,CA,1717982591
273,ponta delgada,37.7333,-25.6667,291.59,88,75,2.57,PT,1717982592
274,palikir - national government center,6.9248,158.1611,304.56,74,100,4.12,FM,1717982592
275,mana,5.6592,-53.7767,299.35,86,100,3.05,GF,1717982593
276,ilha de mocambique,-15.0342,40.7358,297.62,69,83,10.06,MZ,1717982593
277,kruisfontein,-34.0033,24.7314,283.91,71,7,1.69,ZA,1717982594
278,afaahiti,-17.75,-149.2833,298.08,87,100,6.82,PF,1717982594
279,guerrero negro,27.9769,-114.0611,291.57,73,33,8.37,MX,1717982595
280,babu,24.4167,111.5167,299.7,91,100,1.6,CN,1717982595
